Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,"308,167.0","316,589.4","321,191.7","330,113.5","342,083.5","355,665.6","367,294.9","383,234.3","395,706.8","380,317.9","406,231.5","449,382.2","477,837.3","494,087.6"
Belgium,"378,745.4","387,934.9","394,616.3","404,958.3","415,538.0","428,467.1","443,407.2","459,491.8","479,444.9","463,750.9","506,047.2","561,309.1","602,376.3","620,271.8"
Bulgaria,"81,126.3","82,642.8","82,253.4","84,147.7","89,571.4","95,349.4","102,683.0","109,525.9","119,685.9","120,979.0","139,536.6","168,354.3","184,875.0","204,906.9"
Croatia,"45,178.9","44,791.5","45,061.5","44,867.9","45,965.7","47,565.9","49,732.5","52,216.7","54,905.5","50,744.0","58,343.1","67,613.0","79,186.3","85,905.2"
Cyprus,"19,858.1","19,495.4","18,040.3","17,482.8","17,944.2","19,013.8","20,312.4","21,807.8","23,400.9","22,373.6","25,679.9","29,645.4","32,439.2","34,770.2"
Czechia,"4,095,355.0","4,118,386.0","4,169,011.0","4,377,991.0","4,651,813.0","4,843,030.0","5,179,344.0","5,475,773.0","5,888,869.0","5,828,318.0","6,307,755.0","7,049,872.0","7,659,655.0","8,057,032.0"
Denmark,"1,848,531.1","1,892,938.0","1,935,555.2","1,980,261.2","2,030,205.9","2,101,520.3","2,189,589.4","2,243,542.2","2,303,636.7","2,326,592.3","2,553,260.5","2,831,269.6","2,787,929.9","2,926,877.8"
Estonia,"16,741.9","18,086.6","19,163.2","20,365.6","21,010.9","22,189.0","24,316.1","26,438.5","28,472.1","27,859.3","31,453.3","36,300.9","38,353.4","39,847.7"
Finland,"197,655.0","200,378.0","203,497.0","205,855.0","210,192.0","215,717.0","224,706.0","231,905.0","238,518.0","236,387.0","248,764.0","266,135.0","272,848.0","275,963.0"
France,"2,062,141.4","2,088,286.7","2,120,351.9","2,153,733.1","2,201,401.6","2,231,819.2","2,291,680.5","2,355,362.8","2,432,206.8","2,318,276.2","2,508,102.3","2,653,997.2","2,826,541.5","2,919,899.9"
Germany,"2,746,910.0","2,799,280.0","2,866,480.0","2,984,470.0","3,087,030.0","3,195,210.0","3,333,110.0","3,434,030.0","3,537,280.0","3,450,720.0","3,682,340.0","3,989,390.0","4,219,310.0","4,328,970.0"
Greece,"203,475.0","185,899.2","178,113.9","176,071.8","175,362.9","174,448.2","177,378.5","180,615.7","185,181.2","167,539.5","184,574.6","207,008.7","224,686.2","236,736.0"
Hungary,"28,492,068.0","28,919,193.0","30,343,344.0","32,826,770.0","34,984,755.0","36,311,882.0","39,335,929.0","43,553,984.0","47,940,496.0","48,807,766.0","55,560,466.0","65,950,424.0","75,292,668.0","81,447,664.0"
Ireland,"173,120.4","176,621.9","182,908.6","200,594.9","272,282.9","275,933.1","308,366.0","335,136.0","363,752.6","381,728.7","448,445.1","520,718.4","524,728.8","562,794.2"
Italy,"1,657,362.2","1,632,898.5","1,621,260.7","1,635,870.7","1,663,277.7","1,704,856.7","1,744,493.0","1,777,744.4","1,804,066.8","1,670,011.9","1,842,507.4","1,998,072.6","2,142,601.7","2,199,619.4"
Latvia,"19,117.3","21,104.3","21,956.2","22,790.5","23,744.3","24,498.2","26,017.1","28,153.4","29,567.0","29,224.3","32,283.8","36,088.7","39,564.2","40,359.4"
Lithuania,"31,066.4","33,240.4","34,874.0","36,410.1","37,440.7","38,820.7","42,274.6","45,947.4","49,239.2","50,264.6","56,709.1","67,081.1","74,317.0","78,996.2"
Luxembourg,"44,323.5","46,526.2","49,094.5","51,791.3","54,142.3","56,208.1","58,168.8","60,193.4","62,415.0","64,499.2","73,039.5","76,731.2","82,115.5","86,180.3"
Malta,"7,032.8","7,479.5","8,129.4","8,948.5","10,221.4","10,864.3","12,535.7","13,678.6","14,594.2","14,362.4","16,689.9","17,974.7","20,911.2","23,071.0"
Netherlands,"656,013.0","658,232.0","665,567.0","678,627.0","699,175.0","720,175.0","750,861.0","787,273.0","829,767.0","816,463.0","891,550.0","993,820.0","1,050,133.0","1,122,459.0"
Poland,"1,563,935.0","1,622,242.0","1,637,768.0","1,710,185.0","1,809,564.0","1,865,960.0","1,996,836.0","2,147,587.0","2,313,929.0","2,362,909.0","2,661,518.0","3,100,850.0","3,415,274.0","3,653,432.0"
Portugal,"176,318.0","168,538.8","170,675.6","173,186.7","179,392.7","186,380.7","195,509.1","204,997.6","214,489.9","201,032.7","216,493.7","243,957.1","270,352.6","289,428.0"
Romania,"587,235.0","621,214.7","631,634.0","668,905.0","712,548.6","752,129.1","851,620.6","953,049.2","1,059,822.1","1,063,650.7","1,186,015.4","1,384,597.8","1,590,749.4","1,759,183.3"
Slovakia,"71,629.5","73,727.6","74,642.7","76,562.3","80,376.3","81,621.6","84,960.4","90,275.9","94,547.5","94,320.6","101,891.6","109,959.8","123,538.7","130,207.5"
Slovenia,"36,782.2","35,933.6","36,041.3","37,270.9","38,493.9","40,013.2","42,625.5","45,462.4","48,156.5","46,738.7","52,032.4","56,881.6","64,050.0","67,418.1"
Spain,"1,068,690.0","1,035,964.0","1,025,652.0","1,038,949.0","1,087,112.0","1,122,967.0","1,170,024.0","1,212,276.0","1,253,710.0","1,129,214.0","1,235,474.0","1,375,863.0","1,497,761.0","1,594,330.0"
Sweden,"3,704,817.0","3,724,495.0","3,804,976.0","3,963,666.0","4,230,936.0","4,392,801.0","4,575,114.0","4,777,837.0","5,021,382.0","5,012,855.0","5,417,760.0","5,816,415.0","6,143,187.0","6,379,843.0"